file,artist,album,track,genres,selected_for
021268.mp3,cloud mouth,afterlife,Seed,['Lo-Fi'; 'Experimental Pop'; 'Singer-Songwriter'; 'Pacific'],Pacific
021269.mp3,cloud mouth,afterlife,Bedtime,['Lo-Fi'; 'Experimental Pop'; 'Singer-Songwriter'; 'Pacific'],Pacific
021270.mp3,cloud mouth,afterlife,A Leaf's Lament,['Lo-Fi'; 'Experimental Pop'; 'Singer-Songwriter'; 'Pacific'],Pacific
021271.mp3,cloud mouth,afterlife,A Bird Named Bob,['Lo-Fi'; 'Experimental Pop'; 'Singer-Songwriter'; 'Pacific'],Pacific
021272.mp3,cloud mouth,afterlife,Crow Berry,['Lo-Fi'; 'Experimental Pop'; 'Singer-Songwriter'; 'Pacific'],Pacific
021273.mp3,cloud mouth,afterlife,Moon II,['Lo-Fi'; 'Experimental Pop'; 'Singer-Songwriter'; 'Pacific'],Pacific
021274.mp3,cloud mouth,afterlife,The Whirlwinds Grandmother,['Lo-Fi'; 'Experimental Pop'; 'Singer-Songwriter'; 'Pacific'],Pacific
035853.mp3,Tongan Music,Tongan Music,Untitled,['Novelty'; 'Punk'; 'Pacific'],Pacific
035854.mp3,Tongan Music,Tongan Music,Untitled,['Novelty'; 'Punk'; 'Pacific'],Pacific
035855.mp3,Zero-D,Tongan Music,Klingon Rock,['Novelty'; 'Punk'; 'Pacific'],Pacific
035856.mp3,Zero-D,Tongan Music,Coconut Wireless,['Novelty'; 'Punk'; 'Pacific'],Pacific
035857.mp3,Zero-D with Jefferey Vallance,Tongan Music,Fanfare for the King of Tonga,['Novelty'; 'Punk'; 'Pacific'],Pacific
035858.mp3,Zero-D with Jefferey Vallance,Tongan Music,The King's Swim Fins,['Novelty'; 'Punk'; 'Pacific'],Pacific
054646.mp3,cloud mouth,songs from the sewer,clouds form,['Lo-Fi'; 'Experimental Pop'; 'Singer-Songwriter'; 'Pacific'],Pacific
054647.mp3,cloud mouth,songs from the sewer,a feather for frog's first wing,['Lo-Fi'; 'Experimental Pop'; 'Singer-Songwriter'; 'Pacific'],Pacific
054648.mp3,cloud mouth,songs from the sewer,old blood,['Lo-Fi'; 'Experimental Pop'; 'Singer-Songwriter'; 'Pacific'],Pacific
054650.mp3,cloud mouth,songs from the sewer,happy finite,['Lo-Fi'; 'Experimental Pop'; 'Singer-Songwriter'; 'Pacific'],Pacific
054651.mp3,cloud mouth,songs from the sewer,lambs quarters,['Lo-Fi'; 'Experimental Pop'; 'Singer-Songwriter'; 'Pacific'],Pacific
054652.mp3,cloud mouth,songs from the sewer,all permitable,['Lo-Fi'; 'Experimental Pop'; 'Singer-Songwriter'; 'Pacific'],Pacific
054653.mp3,cloud mouth,lambs quarters,Bell,['Lo-Fi'; 'Experimental Pop'; 'Singer-Songwriter'; 'Pacific'],Pacific
066513.mp3,krackatoa,Monkies in the Temple,The Passing of Time,['Electroacoustic'; 'Symphony'],Symphony
113322.mp3,krackatoa,Pretend and walk outside,Pretend and walk outside,['Soundtrack'; 'Symphony'; 'Downtempo'],Symphony
122663.mp3,Anamorphic Orchestra,Anamorphic Orchestra,Creature Comforts,['Soundtrack'; 'Symphony'; 'Contemporary Classical'],Symphony
122664.mp3,Anamorphic Orchestra,Anamorphic Orchestra,Machine Elves,['Soundtrack'; 'Symphony'; 'Contemporary Classical'],Symphony
122665.mp3,Anamorphic Orchestra,Anamorphic Orchestra,Radiant Flux,['Soundtrack'; 'Symphony'; 'Contemporary Classical'],Symphony
122666.mp3,Anamorphic Orchestra,Anamorphic Orchestra,Signs Of Life,['Soundtrack'; 'Symphony'; 'Contemporary Classical'],Symphony
122667.mp3,Anamorphic Orchestra,Anamorphic Orchestra,Stop The Clocks,['Soundtrack'; 'Symphony'; 'Contemporary Classical'],Symphony
122668.mp3,Anamorphic Orchestra,Anamorphic Orchestra,Taking Dark Matter Lightly,['Soundtrack'; 'Symphony'; 'Contemporary Classical'],Symphony
122669.mp3,Anamorphic Orchestra,Anamorphic Orchestra,Time's Arrow,['Soundtrack'; 'Symphony'; 'Contemporary Classical'],Symphony
122670.mp3,Anamorphic Orchestra,Anamorphic Orchestra,Unknown Variables,['Soundtrack'; 'Symphony'; 'Contemporary Classical'],Symphony
128451.mp3,Kai Engel,Chapter One / Cold,Blizzard (PON I),['Classical'; 'Soundtrack'; 'Symphony'; 'Contemporary Classical'; 'Instrumental'],Symphony
131027.mp3,Hicham Chahidi,,Gouttes,['Symphony'],Symphony
146904.mp3,Tri-Tachyon,The Warbird EP,Gardarike,['Classical'; 'Soundtrack'; 'Composed Music'; 'Symphony'; 'Contemporary Classical'],Symphony
