Michael Card,Will You Not Listen?
Michael Cera & Ellen Page,Anyone Else But You
Puddle Of Mudd,Out Of My Head
Operation Ivy,Knowledge
Robert Plant,Your Ma Said You Cried In Your Sleep Last Night  (2006 Remastered LP Version)
Platero Y Tu,Un Abecedario Sin Letras
Four Year Strong,Heroes Get Remembered_ Legends Never Die
Noisettes,Don't Upset The Rhythm (Go Baby Go)
Miley Cyrus,The Driveway
Viola,Nostalgia Amnesia
Jan De Wilde,De Fanfare Van Honger En Dorst
Yann Tiersen,La Valse D'Amélie (Version Orchestre)
Nestor Torres,Luna Latina
Marek Hemmann,Left (feat. Fabian Reichelt)
Michael Jackson,Happy (Love Theme From "Lady Sings The Blues")
Jerry Kilgore,The Real Thing
Dum Dum Girls,Baby Don't Go
Meaghan Smith,Heartbroken (Album Version)
Four Year Strong,Paul Revere's Midnight Ride
Thrice,Cold Cash Colder Hearts
Rise Against,Stained Glass And Marble
Rauschfaktor,Werde Ich Träumen?
The Benjamin Gate,Lift Me Up (Far Away) (Contact Album Version/new Edit Master 4/17/02)
Man Man,Van Helsing Boombox
Less Than Jake,The Rest Of My Life (Album Version)
Vivian Girls,I Have No Fun
David Bromberg,Sheebeg And Sheemore
Alice DJ,Alice Deejay
Rocio Durcal,Marinero
Beyoncé,Work It Out
Ava Inferi,Pulse Of The Earth
Rui Veloso,Lançado
Dyce,Tomorrow Can Wait (Cascada Extended Mix)
K-OS,The Anthem
Will Young,Leave Right Now
Annie Lennox;Steven Lipson,Don't Let It Bring You Down
Junip,Official
Trapt,Headstrong (Album Version)
Nelly,St. Louie
Nacho Cano,Música Para Una Boda
Jack Johnson,We're Going To Be Friends
Clint Mansell,Cleaning Apartment
Edison Glass,Cold Condition
Staind,Please (Explicit Album Version)
Passion Pit,Live To Tell The Tale
The Pointer Sisters,Jump (For My Love)
Sophie B. Hawkins,Damn I Wish I Was Your Lover
Alliance Ethnik,Sincerité Et Jalousie
Simple Plan,Meet You There (Album Version)
War Of Ages,Intro
Los Auténticos Decadentes,Los Piratas
AFI,Prelude 12/21
Rise Against,Survive
War Of Ages,Only the Strong Survive
Immortal Technique,Peruvian Cocaine
Machine Head,Clenching The Fists Of Dissent (Explicit Album Version)
Johnny Darrell,With Pen In Hand
Peter Cetera,Even A Fool Can See (Album Version)
Mellow Trax feat. Lyck,Phuture Vibes 09
Eric B. & Rakim,Don't Sweat The Technique
Silverstein,Still Dreaming (Album Version)
Waldeck,Memories
Jonas Brothers,Year 3000
Nick Lowe,All Men Are Liars
Jimi Hendrix,Here He Comes (Lover Man)
Snow Patrol,Shut Your Eyes
Amity in fame,Relegate the Judge
Sharon Jones & The Dap-Kings,Natural Born Lover
Syd Barrett,Octopus
Akon,Gringo
Shinedown,Sound Of Madness (Album Version)
Thousand Foot Krutch,Falls Apart
Jolie Holland,Your Big Hands
Architecture In Helsinki,Heart It Races
The Budos Band,Origin Of Man
Hayko Cepkin,Actirdiniz Kutuyu
The Presidents of the United States of America,Tiki God
Digable Planets,Rebirth of Slick (Cool Like Dat) (2005 Digital Remaster) (Explicit)
Ryan Adams,Wonderwall
Miley Cyrus,Don't Walk Away
Ashley Tisdale,Love Me For Me (Album Version)
Baby Mammoth,Tea Fumes
Earth_ Wind & Fire,I'll Write A Song For You
Jonas Brothers,Burnin' Up
The Flying Burrito Brothers,Your Angel Steps Out Of Heaven
Harry Gregson-Williams,Bullet Tells The Truth
Hocus Pocus / Omar,Smile
Steadman,Wave Goodbye (Real/Rhapsody Version)
Tweet/Bilal,Best Friend (LP Version)
Goldfrapp,Slide In
Beastie Boys,The Maestro
Crosby_ Stills & Nash,Southern Cross  (LP Version)
Nickelback,Just To Get High (Album Version)
Ashley Tisdale,He Said She Said
Robert Miles,FULL MOON
