artist|song|spotify_id|song_id
311|Jackolantern's Weather|6gFQLF0p7BTexlV21rabGx|SOUPTRI12A8AE453D4
A Day to Remember|If It Means a Lot to You|2vA7kqr5BSEC5esLdGAfMT|SORBBFV12AB017D710
Alliance Ethnik|Creil city|0Fghw1Ky3HNSvj04EtPrnf|SOCNAXF12A6D4F9B34
Alliance Ethnik|Représente|1RZKRHaNFoMelRo9m5Fg3a|SOOFYTN12A6D4F9B35
Alliance Ethnik|Sincerité et jalousie|1uaQVVz7OWo5uxwNVTEGiR|SOBOUPA12A6D4F81F1
Amity in Fame|Relegate the Judge|1KS2cOycRT51MH7LXnBDq0|SOXZSEH12AC468CABB
Angels & Airwaves|The Gift|3TUrTR7E3gFiditkFXkm5b|SOTCMDJ12A6D4F8528
B.o.B|Nothin' On You (feat. Bruno Mars)|720gUTVPALoSa9jxrEJ5Im|SOULTKQ12AB018A183
Band of Horses|No One's Gonna Love You|0MRuDaaklRKJYERVgnVWtf|SOOECND12A8C13A0EA
Barry Tuckwell|Horn Concerto No. 4 in E Flat, K.495: II. Romance (Andante cantabile)|1AB3OIojHx9Ga4v3pIp9Y7|SOEGIYH12A6D4FC0E3
Beastie Boys|The Maestro (2009 Digital Remaster)|7bG6voBTtt2o4iKrH2LKbs|SOMMONH12A6D4F41CD
Beastie Boys|Unite (2009 Digital Remaster)|7pvIfNAnmq0z8QlewNf0kh|SOXLOQG12AF72A2D55
Bedouin Soundclash|Criminal|6OQJ6NoIynGHzvax9mtdlB|SOAEKQS12A67AE0287
Bedouin Soundclash|Jeb Rand|4AhKbm1w5HTE4x5bBml6gC|SOKWYPU12A67AE0286
Bedouin Soundclash|Rude Boy Don't Cry|1ZVFH0elNxAWrXjK5EOyDS|SOQOIRM12A67AE028A
Björk|Undo (Live - Vespertine World Tour 2001)|0nyG3wCTgesXi6VpY7gYmK|SOAUWYT12A81C206F1
Blitzen Trapper|Furr|11MWcx5AxODCegkETJ25VH|SOTKWNM12A8C145B71
Blur|For Tomorrow|4tS1IcYP6LY3ksX5pBfp1I|SOLHJZE12AF72A881A
Bon Jovi|Why Aren't You Dead?|3xSWd9tazXkKB32yQ3uuYe|SOTFAXT12A3F1E9AA9
CSS|Beautiful Song|133ZeS1kxjDCqEKUaWbx3G|SOWAHSY12A8AE48253
Cage the Elephant|Ain't No Rest For The Wicked|0BKR4QaJXDPcOb22guDY1p|SOJTLHS12A8C13F633
Camila|Alejate de Mi|0YMFTGEEdpgqm7OZhpQNcW|SOFDJSB12AB0183B5B
Cartola|Tive Sim|0b39g01pl1lRSNDaQDmWVl|SOFLJQZ12A6D4FADA6
Charlie Louvin|I Think I'll Live|2TxSRQiP7xz4vKxabdlpx1|SOPABZM12A6D4FC668
Christina Aguilera|Genie in a Bottle|0Ve9NtjjLDfMNk8DbcfEW6|SOPRFNT12AB017F8E9
Chromeo|Fancy Footwork (Laidback Luke remix)|1YZlqqXoVznFIRNu3pqBhB|SOSJDQJ12A8C13D4A9
Coldplay|In My Place|2aXZp30TocFnABRPF1Isrl|SOMRYYN12A6310F0F3
Coldplay|Shiver|6LFG5WLD8KWSb308OU35q9|SOSVPIE12A6D4FA873
Coldplay|Sparks|7D0RhFcb3CrfPuTJ0obrod|SOLJWIQ12A6D4FA875
Coldplay|Yellow|3e0wYnFxkqinmtXebYPMSt|SOPXKYD12A6D4FA876
Cosmo Vitelli|Robot Soul (Radio Edit)|2gIVqrC5BG8BMeO9r1qtCr|SOSYOHI12A8C144584
Craig David|Hands Up In The Air|3LvghmNPolOac7uiQpPBSA|SOBZBQR12A67ADA92F
Crystal Castles|Courtship Dating|1MqTfbSz56yfmS7TixZXTq|SOYZKVX12A8C13A181
Crystal Castles|Knights|6kkvgNWMJpoAsfWsnXrbfb|SODJCKV12A8C13ED5D
Daft Punk|Aerodynamic (Daft Punk Remix)|37YWwmlRl1GonSwjRuOiEq|SOVOOSP12A6310F1AC
