artist|song|spotify_id|song_id
112|Say Yes|6f7PKXPyd6eHmi7Z01lUxp|SOVAHXC12A6D4F6D37
112|You Said|6FX6s6rh29484cuBAQqoVL|SOVBREP12A58A81267
1990s|59|14msrFFPtBLLBfFoT4cNZm|SOOQJWC12AB017E6BC
1990s|Situation|1lYUv0efYresn3UDehBkOL|SOFWBSS12A8C136313
1990s|Tell Me When You’re Ready|6Bos3Ic6j5InuH3IFAJ5x5|SOZNLUG12AB0183A25
1990s|You Made Me Like It|6tXJBFSVot9nEWrXVoUtzn|SOXMGUX12A8C136EBC
23 Skidoo|Crossfire|74NcXqYMhjMG8KGMAhc2dm|SOTYJZR12A6D4F6A3E
3 Doors Down|Changes|40FQq8l7jOVhwkpFecRQ5L|SOZPMAS12A67020917
3 Doors Down|Give It To Me|10GnnsAs9LJwyvdrniPFXj|SOKPUKQ12A8151E072
3 Doors Down|It's Not My Time|1tD4I1dCccUmdgGiBYoasd|SOFEOVT12A58A78DF3
3 Doors Down|It's The Only One You've Got|6GGhsjNHsWPq2t09frctoK|SOEQDHX12A8151E06C
3 Doors Down|Let Me Be Myself|2JgUUVC2JEyDjAafTt5zwv|SOIBSSJ12A8151E066
3 Doors Down|Pages|51KLA8RLWyOJaaYCIZLS8X|SOJDZOH12A58A77672
3 Doors Down|Smack|4zgeTPD3uGntyx8DE9xwOU|SOJVGHT12A6701CFE5
3 Doors Down|These Days|62KPpAQ76yK3Hm816vWXyl|SOISZHF12A8151E077
3 Doors Down|Your Arms Feel Like home|0SanLvXc3eSY7XqfeMlDOS|SOIGAWN12A8151E078
3 Inches of Blood|Destroy The Orcs|0jFiJY1tqHkYhHl9tU6cEb|SOCGYXM12A6D4F5237
311|Get Down|3MQttfJ83MOvnP3vnWm2Ei|SOIXKIM12A8C144A85
311|India Ink|7C3eS5PIZq11kquLXvAvRY|SOOBIMU12A8C14292F
311|It's Getting OK Now|34I4qR9JOzk9kV02l8KXrE|SOWOATQ12A8C13DC52
311|Jackolantern's Weather|6gFQLF0p7BTexlV21rabGx|SOUPTRI12A8AE453D4
311|Long For The Flowers|0ke4SaS9A289VHNTgV7fXq|SOMWFLZ12AF729FE7F
59 Times the Pain|Found Home|4dK9iwrYVs56pAzXxKTBaD|SOQBMFK12A8C13835B
A Day to Remember|If It Means a Lot to You|2vA7kqr5BSEC5esLdGAfMT|SORBBFV12AB017D710
A Flock of Seagulls|Magic|0bztmJHS0tDU4BLU0FY70Y|SOLOTRO12A6D4F8CBF
A Flock of Seagulls|Transfer Affection|1pVdeA9MwWGFyR8FBmRCXF|SORQXKW12AF729CB96
A Flock of Seagulls|You're Mine|7fTsxvujIpcnMBuuDxEgYf|SOJTSJZ12A6D4F8C81
A Hope For Home|Absolution: Of Flight and Failure|0dWuSInLyTRqP5ilj96lQZ|SOFSTPP12AAFF43630
A Perfect Circle|Breña|1YkwIh3vwjCHmq8Te6snMh|SOGGYCD12A6D4F8152
A Tribe Called Quest|Phony Rappers|0PukerHwImpQ2axWQEV1WQ|SOOZHNY12A8C138176
A.R. Kane|Sugarwings|2FV9W1rGW3TMnJkmO6cti3|SOQDDUH12AB0183D2F
Adam Ant|Wonderful|2oJuoAFzlEHDS0moF0VtuA|SOZFCBZ12A6D4F6F4C
Adam Green|Dance With Me|631FO1LTLp6ZjaUJGsxsjK|SOGRHFV12A8C13FC8A
Adam Lambert|Strut|07RfMjdxzlpcOQ6atfcTN2|SOFPSHB12AB0182748
Aerosmith|Jaded|00HNZeqhcMslk8aL3mgni4|SOOQILK12A8C13135E
Aerosmith|Line Up|0OUp9IxzAjNrGgLhacAvqV|SORGFNS12AB0189652
Aesop Rock|Daylight|1nJ5EkhlOsScOKsrQKNNYd|SOXLIIZ12B0B807997
After 7|Nights Like This|6KYOzBfCt8uGxQrVG8UhcJ|SOZCSHT12AB017C7FE
Against Me!|Animal|0DFY2WxEJhQvyTA6vNCcda|SOXLDCV12A8C136156
Against Me!|I Was a Teenage Anarchist|75rsEd12UoUBzhv2XupJQk|SORXMRX12AC468D5BB
Against Me!|Piss And Vinegar|2KNxY6lwK2rVAM6r5Rc3qi|SOUBYBF12A8C136149
Against Me!|Rapid Decompression|42uzy7fa5WFsboSrvKc54f|SODKZXM12AC468D5DF
Against Me!|Up The Cuts|48VXBcdbxxKERKWS1Wy4qh|SOTKVEG12A8C136119
Air Supply|Faith|1JrMqZwLPARTkhMjge3WPj|SOJVLSK12AB018DF92
Alan Sorrenti|Microfoni Assassini (2005 - Remaster)|04IS1KMlgdnvPNTgojjDWf|SODYZVS12A6D4F5E46
Alejandro Sanz|Cuando Nadie Me Ve|4YbIwJ8rI5XkAVD6WwnRLj|SOTKVKP12A6701D299
Alejandro Sanz|Ese Que Me Dió La Vida|2nstMAR8vjyZwb4w9eb36b|SOMOKAA12A67ADC25B
Alejandro Sanz|La vida es un espejo (Tangos)|032UBBamm9K4dCwOwaKvjj|SOZFVSW12A6701D2AA
Alejandro Sanz|Siempre Es De Noche|6ZL2hqLpDdMzDkxIp7I7aZ|SOFSYAP12A67ADC247
Alejandro Sanz|Sin que se note|2Rzz1N4py41udOiNjKhvJv|SOYDZPA12AB017F45E
Alejandro Sanz|Te lo agradezco, pero no|0TSO6afZViXH6OUlIMl6m4|SOIRLDI12A6D4FA5FA
Alejandro Sanz|Tu no tienes alma|3VrynY9GEIszLYumeMWF91|SOJWSPG12A6701D288
Alejandro Sanz|¿Lo Ves? [Piano Y Voz]|21isMKUUxI1zz2NuUDG88q|SOJWBVQ12A6701D28A
Alexis & Fido|Kumbiaton|4K6ve0SIjf3YjR1Dl2Jtn2|SOMTDCS12AF72A28FF
Alice Cooper|Generation Landslide|0whFZ2qMsiUMkQOxsfRy5p|SOUMSMR12A6D4F8FAF
Alice Cooper|Welcome To My Nightmare|0aflUJbM2VQotFwY8df9Xy|SOPEZIS12A8C143307
Alison Krauss|As Lovely As You|0RUadsu0e2HuxWvtIT1NHM|SOSCABJ12AB018BD1D
Alison Krauss|Borderline|60gZVOwXHh0VffDAo3YcWb|SOEQIIX12AB017FF50
Alison Krauss|Daylight|4Faook9qAlH1SHtdr4YcBG|SOJBQUD12AB017ED58
Alison Krauss|Doesn't Have to Be This Way|5x6pEnOKbERHhVKUI0sgbW|SOMKGOX12AB0183EBB
Alison Krauss|Goodbye Is All We Have|2p1O54tEnW5oAfA4MMMdIa|SOQQPFF12AB017A97D
Alison Krauss|Heartstrings|56usD5Ghh5Sg875nFgstiI|SODCMLP12AB018417E
Alison Krauss|Heaven's Bright Shore|2vhASuxpx1kvsfm254R6fN|SOSBHDZ12AB018BD15
Alison Krauss|I Can Let Go Now|1KTK1q3I7hkRYF8wTJDoJ9|SORCUQQ12AB0189C90
Alison Krauss|I Give You To His Heart|4JowZQEICesuDtphHRvR8H|SOFXBZM12AB017C3A8
Alison Krauss|I'll Remember You, Love, In My Prayers|1w75Bh3jobCqCYREtpVhMI|SOTRAZI12AB0189CA8
Alison Krauss|It All Comes Down To You|1lVRNvoM9OndvyJu980H0o|SOXDTCF12AB017ED60
Alison Krauss|It Doesn't Matter|5Yxvkas8hjy0EWKbEt3DTe|SOKFOUH12A8C133C16
Alison Krauss|It Won't Work This Time|1nsLDK6LwD3jB8qZIuwUAs|SOQFKVM12AB018416A
Alison Krauss|It Wouldn't Have Made Any Difference|2KqmqVJXMUuu6Tc8Tt5BXg|SOTSWZQ12AB0182151
Alison Krauss|Jesus Help Me To Stand|4yhJqSokAVk7rHxnmQUp4N|SOJMCYY12A58A81C8D
Alison Krauss|Little Liza Jane|0ACXUP6mbExOgVNe5TX4bW|SOKTSNK12AB0189C99
Alison Krauss|Love You In Vain|0T6Sx5ktVKe6yuikxl99WN|SOCAFEY12AB018BD17
Alison Krauss|Pastures of Plenty|77WtKKMS7bc136vqyVKI9T|SOVWLFV12AB017DBF2
Alison Krauss|The Road Is A Lover|54KCW5172IVKyRkLowTbFE|SOJQXPB12AB0189C95
Alison Krauss|Unionhouse Branch|3Nrwb6ApXXWRcUx1wfCism|SOADMBB12AB017C0F1
Alison Krauss ＆ Union Station|Take Me For Longing - Live|1XKlDi3cfvBpN3R4sb7drG|SONYJZJ12AB0183A60
All Saints|Under The Bridge|78M2x5ojbdTmUOpWrbijG3|SONLSEV12A6702077A
Alliance Ethnik|Creil city|0Fghw1Ky3HNSvj04EtPrnf|SOCNAXF12A6D4F9B34
Alliance Ethnik|Représente|1RZKRHaNFoMelRo9m5Fg3a|SOOFYTN12A6D4F9B35
Alliance Ethnik|Sincerité et jalousie|1uaQVVz7OWo5uxwNVTEGiR|SOBOUPA12A6D4F81F1
Amanda Perez|Angel (Acoustic Guitar Version)|06jFWzKIuI6Vamd2YBJSSC|SOHRDBM12A8C135928
America|Muskrat Love|6RgRrgXZHDKLlXk0ltTUZs|SOMHLNG12A6D4F7D63
America|Sandman|1Lx4c60Gd4oVKhWt8pqxht|SOUGSKL12A8C13F7BB
Amistades Peligrosas|Me Quedaré Solo|4I3rLiNr4xgRT5dRpFOltS|SOMFQGX12A8C13AB30
Amity in Fame|Relegate the Judge|1KS2cOycRT51MH7LXnBDq0|SOXZSEH12AC468CABB
Amon Amarth|Arson|2Q4wvSlpck8GRxoBeuP5cA|SOHKWAX12A8C133457
Amos Lee|Listen|75wKkeRUyATQPr6tWDNGi2|SOTINBX12A58A7D594
Amos Lee|Soul Suckers|4m1nzLq9L8xrBtVHX54Wef|SOJNHAY12B0B80C22C
Amy Winehouse|'Round Midnight|6HzXLy6JHRTKCba0Y2iA7h|SOXFSRA12A6310E1C8
Amy Winehouse|Addicted|2BouUrGLAji7VMt8yNJb1Z|SOOAOHX12A6D4F8E8C
Amy Winehouse|Close To The Front|6RF2BJFbR2wrQaDNAGh2IC|SOZXYKI12A67AD85FC
Amy Winehouse|Fuck Me Pumps|2wOqT31QRl6tb7qKbKJGC9|SOFSIKY12AF72A0807
Amy Winehouse|Help Yourself|159RpCrk2C6EGG2VkNcXe2|SODEZUP12A6310D7E8
Amy Winehouse|Wake Up Alone|05ijKYH2LhdpJCVTQHzeES|SOXKFRI12A8C137A5F
Andrew Bird|Cock O' The Walk|5psCjRyablFeS7SHpNgX2N|SOCHJWO12A6D4F89B5
Andrew Bird|Scythian Empires|2iQXRyT2YefnkGmL1AhNyT|SOYJPKO12A8C134151
Andrew Bird|St. Francis Reel|2h8vB2RfBnxxDIPbY91ScN|SONGVPK12A8C13CF8F
Andrew Bird|The greenhorn/Exile of Erin/Glasgow Reel|2jJLCjGXQoxa9TJD9iJBQZ|SOGXXEU12A8C13CF95
Andru Donalds|Beautiful Friday|7a94P6oabuKq58SwMuBzG6|SOLWBLI12A6D4F8780
Andrés Calamaro|Carnaval de Brasil|4NnRiN8J5FDKWQcBtmdB2k|SORWZPS12A6D4FE4DB
Andrés Calamaro|Los Aviones|0io2m9GXjRnr8yVJy4ao03|SOWYTGO12A8A9D93F5
Andrés Calamaro|Nunca lo sabran|2lOhXcgQJYxlyWKsLl4Yig|SOQBEWW12AB018714B
Angels & Airwaves|A Little's Enough|5WJexUNcyN84hXT0VkeJSg|SOWFTHD12A58A7B838
Angels & Airwaves|Breathe|13GGf9FYOVVmKuudG0Kqhy|SOOMVIQ12A3F1EA127
Angels & Airwaves|The Gift|3TUrTR7E3gFiditkFXkm5b|SOTCMDJ12A6D4F8528
Angus & Julia Stone|Big Jet Plane|23X4RjHORKVk75NBCjIusY|SOCQOZB12AB0185685
Animal Collective|Derek|37hrGsIRtypsBuP7oF6EZv|SOVTBUT12A6D4FDCE3
Ann Peebles|Love Vibration|5edm3V2hde2nrjYBKbsrtG|SODPNMZ12A8C13A476
Anneli Drecker|Sexy Love|51N4XynQQYpAdyET5XiJi0|SOHYENB12A6D4FB825
Another Sunny Day|Rio|5v6pI8xQjpgMyf28nTwReS|SOTUARP12A8C13CB54
Antimatter|Lights Out|3uMeqKRVlEX0xty9clEB2A|SOCPJGO12AB017DD6C
Apathy|Can't Leave Rap Alone|3ZFbYC7DYhEGF8JEnR7HKj|SOYPXUL12A8C13B1BD
Apocalyptica|Refuse / Resist (Instrumental Version)|2yNMtEB6P02rHRmrjKCWhm|SOLZCIF12A67AE0DF1
Arcade Fire|I'm Sleeping in a Submarine|5CChjE52dD2KdUGFsVbRTI|SOTODTI12A8C1402D3
Arcade Fire|My Heart is an Apple|7BnyEd138xKrrdOSXX5EVb|SOQDPMA12A8C1402DE
Arcangel|Enamorado De Ti|5YAOpY1AdtGcmRTklV2FD5|SOBZANJ12AB0184209
Architecture in Helsinki|Debbie|5VeAPJnaoOnNdRi0DXWQwf|SOKWJJK12AB01861B5
Architecture in Helsinki|Frenchy, I'm Faking|0RkGsRtmkbH3fwzIpMd8Fe|SOELNKL12A8C142434
Architecture in Helsinki|It'5!|41UnKIcLjInIweSKopfJ1S|SODDCSJ12A8C1423FA
Architecture in Helsinki|Nothing's Wrong|55USs0j2pP7texftQZi1VV|SOXGLYP12AB01861B8
Arctic Monkeys|Bigger Boys and Stolen Sweethearts|5XQ5HMz0cB9c1zg51Rz49a|SOCZHGO12A8151DFB7
Arctic Monkeys|If You Found This It's Probably Too Late|06KyZ0CaY369OSTRs2kOGj|SOOTPUM12A6BD50DF5
Arctic Monkeys|My Propeller|5ulSHup9noQiSU7NVWqWYE|SOYMXCS12AB018BC05
Aretha Franklin|Mary, Don't You Weep [Live at New Temple Missionary Baptist Church, Los Angeles, January 14, 1972]|793AloT3cCTrWFkZmL0Q8k|SOSPFXZ12A8AE47A8D
Ariel Pink's Haunted Graffiti|Haunted Graffiti|4AeQfvstoSbYU8RB6kqPc7|SOVBMGP12A8C13CE01
Arrested Development|Fountain of Youth|4MwjVhVHldmujL8h49JGaa|SOEVGLT12A6D4F7A4E
Arrested Development|Tennessee (Pirate Radio Mix)|11Aqaqh5wjMOl4HJZjAS7X|SOMVIOV12A6D4F719A
Artist Unknown|Siechen|2wyVk4cFwHo299sqKW086Q|SODFNPU12A8C139974
Ashanti|You're Gonna Miss|3bi4LNs3d1wuy4rxfZPF6o|SOUYBVY12A8C13B4C8
Ashlee Simpson|La La|0HDZ2MgbkO41zqW1GjOShr|SOAVBZS12A6701E706
Astrud Gilberto|Love For Sale|6HuG3LdPvK4zKyRkhDpiDW|SOSBRKR12A58A7B888
Audio Adrenaline|Hands And Feet|6o0ScYentB1u59uQVz8dCI|SOOJXPW12A6D4FB2D6
Austrian Death Machine|Gotta Go (from Terminator / Agnostic Front cover)|1e0xQjwezCeTC1QdibBVss|SODBDTU12AB017EB51
Austrian Death Machine|I Am A Cybernetic Organism, Living Tissue Over (Metal) Endoskeleton|67DdvaCDVpH9mpfoFoA0Ah|SOUTVLJ12AB0181E1A
Aventura|Dile Al Amor|2Bhmj4XK33InfhqKPxcJ1v|SOOCMSA12AB017F6BD
Average White Band|How Sweet Can You Get?|3X2qPTqniAvorg0PQP72R1|SOPNLLU12AB0182550
Average White Band|It’s A Mystery|6u250A0C7WS2i4YvNTfbhR|SOXMBQA12AB018251F
Average White Band|Just Wanna Love You Tonight|6xoFpmx9jfTP5m3hmndpMy|SOHDJBA12A58A7B455
Average White Band|Nothing You Can Do|1LYNosLcGWhc6gow19o0E0|SORNZPV12AB0186D8D
Average White Band|There’s Always Someone Waiting|28jNmaMD5elGMVlZpf1UZZ|SOMDCEC12AB0186DBA
B.o.B|Nothin' On You (feat. Bruno Mars)|720gUTVPALoSa9jxrEJ5Im|SOULTKQ12AB018A183
Babasónicos|Arbol Palmera|05pn0VKx0jGAJPNgeLu70B|SOEKVVC12AB0184411
Babasónicos|Ascendiendo|2A77kkP4lc9PdB1h2j34mL|SOYQDNJ12AB01882B5
Babasónicos|Asi Se Habla|0Hz8eaDCASgEdOb4xcxyct|SONOJBY12AB01822CC
Babasónicos|Bien|1RutDAePuH91IbBz8JEyLX|SOTGSPN12AB018526B
Babasónicos|Capricho|2k06dvxgkg3zgnF0yc5Sj5|SOTXWGU12AB01822F9
Babasónicos|El Colmo|0mDTi7Dj0UWW7teYj7RORG|SOIJFLH12AB01822FA
Babasónicos|Pendejo|6bR8N57nOudulDUPWAyMdl|SOEHLTX12AB018213C
Babasónicos|Poder Ñandu|4A4so7iC9zUbbL00Xoc289|SOPJDOS12AB0185FB2
Babasónicos|Tripeando|1qUnbosBHZDkwjuVCYgUaX|SOSRBAX12AB0183A50
Baby Bash|No Way Jose|2OpuIuFG6hA8EASksatQxb|SOVUTZD12A67ADBB36
Baby Bash|Outro|0AsKoSJqiKJe9OnVIfIRuC|SOWCXPN12A67ADBB41
Backstreet Boys|Something That I Already Know (Main Version)|5JXJgGKSXuXAZkl6jcda5S|SOEVRNA12A8AE4737E
Backstreet Boys|Unsuspecting Sunday Afternoon (Main Version)|4T6XMCUCSQ3MQhj3Yjniul|SOAJWAC12AB018350F
Bad Company|Man Needs Woman|2Zh5rEoXQNJwO6wBr5Y3g1|SOBMSIJ12AB017FAD5
Bad Religion|The State Of The End Of The Millennium Address|213P9Xvvp5IWuHSs5HtRRy|SOPVSJD12A8C13E7A6
Band of Horses|Is There A Ghost|0ZQYMP3hAzPACCEVHkZz1C|SORRYFP12A8C13A08D
Band of Horses|No One's Gonna Love You|0MRuDaaklRKJYERVgnVWtf|SOOECND12A8C13A0EA
Band of Horses|The General Specific|3MNTXYdBLLeBJjbihvTjOJ|SOMYUPY12A8C13BD15
Barry Tuckwell|Horn Concerto No. 4 in E Flat, K.495: II. Romance (Andante cantabile)|1AB3OIojHx9Ga4v3pIp9Y7|SOEGIYH12A6D4FC0E3
Barón Rojo|Los Desertores Del Rock - Live|5gyP2Q5vM7pgDiM9Wrd5T2|SOZGFYU12AB0186CF9
Beastie Boys|Flute Loop (2009 Digital Remaster)|28o8yBqe6ztfdq4GQXU30d|SOAKBYA12A6310E2AF
Beastie Boys|Intergalactic (Digitally Remastered 99)|0rVd7bTGtrQUW34xSLzozd|SOPLUOT12A6D4F7AC3
Beastie Boys|The Maestro (2009 Digital Remaster)|7bG6voBTtt2o4iKrH2LKbs|SOMMONH12A6D4F41CD
Beastie Boys|Unite (2009 Digital Remaster)|7pvIfNAnmq0z8QlewNf0kh|SOXLOQG12AF72A2D55
