Jake Hess|You And Me Jesus|7dmByLRsKJJ3o9rcTDohK5|SOADQPP12A67020C82
Jorge Palma|Jeremias, O Fora-Da-Lei|5iN01G5gA2OMEC1XyKFVFY|SOANEIV12A8C13A003
Rihanna|Lemme Get That|6KEa4pHjBvoYht2B6xjNVI|SOAPNSG12A8C13481A
Kid Cudi|Up Up & Away|6iBaGScSHySVYkE4vZAIcW|SOARUPP12AB01842E0
The White Stripes|Seven Nation Army|20UXPbBPmW8wiEpsZEb5Vb|SOAUFOF12AB0180C65
Björk|Undo (Live - Vespertine World Tour 2001)|1ty7lpdnCssRooPK0xRyfk|SOAUWYT12A81C206F1
Shania Twain|Nah! (Red Album Version)|12Bx0s8uDNiH4zGVkj1FAa|SOBABRB12A6701DF4B
Tiësto|"Traffic (Original 12"")"|23ZPHa2PpTJ4STpHIkr0OV|SOBAPRW12A8C144F91
Jorge Palma|Nunca É Tarde Para Se Ter Uma Infância Feliz|5DHvGeiiGXWCeNCWowX8Ao|SOBFYHS12A8C13981D
Phish|Prince Caspian|255zg2kzJRA0JEOxYwMaUs|SOBMVXX12A8C13D19E
Jorge Palma|A Gente Vai Continuar|3N1SRQV9pselXmAnobiYhN|SOBNCME12AB0188920
N.E.R.D.|Rock Star|0bdIiCIqMPPZy82Q6uIVct|SOBNTOH12A58A78181
Jason Mraz|Lucky|0eUt8y45jKRKieJZur5b0W|SOBOAFP12A8C131F36
Alliance Ethnik|Sincerité et jalousie|0qNAiA1JEOPxcWP3KB4nsB|SOBOUPA12A6D4F81F1
Eminem|'Till I Collapse|5hRmVmELsKSJ23sNsUKZjc|SOBPKPW12A6701E8F9
Ivete Sangalo|Eternamente|7mgT88sVMYiIATQafGCRmI|SOBQLSC12AB0185043
Mafalda Veiga|Imortais|5Sz1XVyxPNJXtsjW1gEZoX|SOBRYFZ12A58A7E004
Tiny Vipers|They Might Follow You|7eb0lCy1UXaKyPWy14sCDD|SOBUBLL12A58A795A8
Jorge Palma|O Fim|0nQlSvc2xRRU9xmpOfSn2H|SOBZBIE12AB018021C
Francisco Céspedes|Morena|2tBgXCWSxAbDP2zZcwuUlX|SOCHQIQ12A81C20A19
Kix|Girl Money (Re-Recorded / Remastered)|515LWV6XQ1Ou7U33zbzeJs|SOCHWPT12AB0184F15
Ivete Sangalo|Monsieur Samba|3Gr38fSRDJcVRZEma9cl4j|SOCJBJO12AB018503D
Mariah Carey|Dreamlover|2ocDF2DDhIALebfIaGxBkF|SOCMEJM12AF72A48D0
Dino Merlin|Na Vi|4uQNQnmNhRiQ2GMfbfn8RQ|SOCMHES12AB0186FCF
Ivete Sangalo|Bota Pra Ferver|76Uo5EOIISQsIq8pHgQGb2|SOCQLRV12AB0185061
