artist|song|spotify_id|song_id
!ERR: No artist name found|!ERR: No song name found|!ERR: No Spotify Track ID Found|SOADJQJ12A8C141D38
Bedouin Soundclash|Criminal|6OQJ6NoIynGHzvax9mtdlB|SOAEKQS12A67AE0287
!ERR: No artist name found|!ERR: No song name found|!ERR: No Spotify Track ID Found|SOAFTRR12AF72A8D4D
The Smiths|Stop Me If You Think You've Heard This One Before|1mNIzFnYuuFpcIONr8UBAw|SOALBSB12A58A814C0
The Rolling Stones|Jumping Jack Flash (Live At The Beacon Theatre, New York / 2006)|281J4XFm5DLfVt1nKNBsPn|SOALEQA12A58A77839
!ERR: No artist name found|!ERR: No song name found|!ERR: No Spotify Track ID Found|SOANQFY12AB0183239
New Young Pony Club|The Get Go|4NE0mPF77mBHc7q9K8djGj|SOAOZNR12A8C13B456
Kid Cudi|Up Up & Away|2iwHqEsNeW0ci3iB8PJzpf|SOARUPP12AB01842E0
Lady Gaga|Beautiful, Dirty, Rich|5E0GkVh1NtUlENn2ujQvNL|SOASXQD12AB018902F
The White Stripes|Seven Nation Army|4zA30wJPvNvQ3WjB8jtGaF|SOAUFOF12AB0180C65
Björk|Undo (Live - Vespertine World Tour 2001)|0nyG3wCTgesXi6VpY7gYmK|SOAUWYT12A81C206F1
Katy Perry|Hot N Cold (Manhattan Clique Remix Radio Edit)|2aRnHc1Q8ydUOSEYo68ztS|SOAVIJW12AB018269B
The Killers|Losing Touch|0ORrEWcI3Da6iV6pplqQWa|SOAVWHY12AB017C6C0
!ERR: No artist name found|!ERR: No song name found|!ERR: No Spotify Track ID Found|SOAXGDH12A8C13F8A1
Shania Twain|Nah! (Red Album Version)|0oSeIKmteMy1HSOcgsTZrB|SOBABRB12A6701DF4B
!ERR: No artist name found|!ERR: No song name found|!ERR: No Spotify Track ID Found|SOBADEB12AB018275F
Dominique A|Le courage des oiseaux|6sBd3FaPoi5Jp9WJc3xRse|SOBFRNE12A6D4F7995
Kings of Leon|Charmer|5gUDBTuhkJCAD2IJOh4tBr|SOBJCFV12A8AE469EE
!ERR: No artist name found|!ERR: No song name found|!ERR: No Spotify Track ID Found|SOBJOSC12A8C137A74
Jason Mraz|Lucky|0lP1yIucCa3oCwcTTC75oN|SOBOAFP12A8C131F36
