artist|song|spotify_id|song_id
Lisa Loeb & Nine Stories|Stay|4ARhdB2FzpXcko8T03YVen|SOBNSME12A6701E2FD
!ERR: No artist name found|!ERR: No song name found|!ERR: No Spotify Track ID Found|SOIGXKF12A6701E096
Natiruts|Jamaica Roots II(Agora E Sempre)|2dkXwUM8BwcEW3xjxrl7CP|SODCNJX12A6D4F93CB
Five Iron Frenzy|Canada|24npDZmZh8Vyfy8wnaj5em|SOPUCYA12A8C13A694
A Hope For Home|Absolution: Of Flight and Failure|0dWuSInLyTRqP5ilj96lQZ|SOFSTPP12AAFF43630
!ERR: No artist name found|!ERR: No song name found|!ERR: No Spotify Track ID Found|SOAXGDH12A8C13F8A1
!ERR: No artist name found|!ERR: No song name found|!ERR: No Spotify Track ID Found|SOPGGKZ12AB01810BB
!ERR: No artist name found|!ERR: No song name found|!ERR: No Spotify Track ID Found|SONEWAX12AB018DD3F
Haiku D'Etat|Mike Aaron and Eddie|2dnSajtT6pJVezHJIhFEsq|SOTLNBE12A8C137088
The Young Knives|Weekends and Bleak Days|3E1ifiPVKqkwhNOxuQWUiR|SOUNCSG12A58A7A193
Nina Simone|Night Song|2O0MtQVTROLo0qWhQDkDNu|SODSXUP12AF72A89B2
Angels & Airwaves|The Gift|3TUrTR7E3gFiditkFXkm5b|SOTCMDJ12A6D4F8528
Jason Mraz|Lucky|0lP1yIucCa3oCwcTTC75oN|SOBOAFP12A8C131F36
!ERR: No artist name found|!ERR: No song name found|!ERR: No Spotify Track ID Found|SOBTUTU12A6701F301
Sense Field|Am I a Fool|1DcOojNd5OlXqGCrWXP3Aq|SONUYPZ12AC46899E2
!ERR: No artist name found|!ERR: No song name found|!ERR: No Spotify Track ID Found|SOUFPNI12A8C142D19
!ERR: No artist name found|!ERR: No song name found|!ERR: No Spotify Track ID Found|SONNSYV12A8C146BEC
!ERR: No artist name found|!ERR: No song name found|!ERR: No Spotify Track ID Found|SOSCIZP12AB0181D2F
